150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,0.86,0.37,2.41,0,0.08,0,0.22,0,0,0.03,0,0,-,0.86,0.37,2.41,0,0.08,0,0.22,0,0,0.03,0,0,-
MEULABOH,0.32,0,0.2,0.23,0,0,0.02,0,0.5,0.1,0.25,3.53,-,0.32,0,0.2,0.23,0,0,0.02,0,0.5,0.1,0.25,3.53,-
KAB ACEH TAMIANG,0,0,0,0,0,0.17,0,0,0,0,0,0,-,0,0,0,0,0,0.17,0,0,0,0,0,0,-
KOTA BANDA ACEH,0.13,0.03,0.03,0,0,0,0.15,0.12,0.12,0,0.12,4.37,-,0.13,0.03,0.03,0,0,0,0.15,0.12,0.12,0,0.12,4.37,-
KOTA LHOKSEUMAWE,0,1.18,0.05,0.08,0,0.07,0,0,0,0,0.47,3.36,-,0,1.18,0.05,0.08,0,0.07,0,0,0,0,0.47,3.36,-
KAB LABUHANBATU,0.21,0,0,0.62,0.13,0,0.04,0.24,0,0,0.02,0,-,0.21,0,0,0.62,0.13,0,0.04,0.24,0,0,0.02,0,-
KAB KARO,0.3,0,0,0,0,0,0.07,0,0.02,0.02,0,0,-,0.3,0,0,0,0,0,0.07,0,0.02,0.02,0,0,-
KAB DELI SERDANG,0,0,0,0,0.5,0,0.46,0.21,0,0,0,0,-,0,0,0,0,0.5,0,0.46,0.21,0,0,0,0,-
KOTA SIBOLGA,1.91,0,0.01,0,0,0,0,0,0,0,0,0.3,-,1.91,0,0.01,0,0,0,0,0,0,0,0,0.3,-
KOTA PEMATANGSIANTAR,3.62,1,1.14,0.51,0.41,0.18,0.32,0.03,0.22,0.33,0,0.38,-,3.62,1,1.14,0.51,0.41,0.18,0.32,0.03,0.22,0.33,0,0.38,-
KOTA MEDAN,0.04,0.18,0,0.12,0,0.09,0.16,0.38,0,0.21,0.17,1.43,-,0.04,0.18,0,0.12,0,0.09,0.16,0.38,0,0.21,0.17,1.43,-
KOTA PADANGSIDIMPUAN,0,0.08,0,0.25,0.42,0.32,0.07,0.03,0,0,0,0.12,-,0,0.08,0,0.25,0.42,0.32,0.07,0.03,0,0,0,0.12,-
KOTA GUNUNGSITOLI,0,0,1.65,0,0,0,0,0,0,0,0,9.42,-,0,0,1.65,0,0,0,0,0,0,0,0,9.42,-
KAB DHARMASRAYA,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
KAB PASAMAN BARAT,0,0.05,0.37,0,0.94,0.85,0,0,0,0,0,0,-,0,0.05,0.37,0,0.94,0.85,0,0,0,0,0,0,-
KOTA PADANG,0.03,0.32,0,1.36,0.18,0,0.09,0,0.2,0,0.03,0.05,-,0.03,0.32,0,1.36,0.18,0,0.09,0,0.2,0,0.03,0.05,-
KOTA BUKITTINGGI,0.2,0.01,0.26,1.27,0.4,0,0,0,0,0,0.06,0.13,-,0.2,0.01,0.26,1.27,0.4,0,0,0,0,0,0.06,0.13,-
TEMBILAHAN,0.37,0,0,0,0,0.02,0.64,0,0.13,0.02,0.18,0.02,-,0.37,0,0,0,0,0.02,0.64,0,0.13,0.02,0.18,0.02,-
KAB KAMPAR,0,0,0.16,0.53,0,0,0.29,0.04,0,0.14,0,1.05,-,0,0,0.16,0.53,0,0,0.29,0.04,0,0.14,0,1.05,-
KOTA PEKANBARU,0.66,1.09,0.03,0.06,0.71,0,0.03,0,0.13,0.55,0.07,0.03,-,0.66,1.09,0.03,0.06,0.71,0,0.03,0,0.13,0.55,0.07,0.03,-
KOTA DUMAI,0,0,0.18,0.37,0,0.31,0.47,0.37,0,0,0,0.29,-,0,0,0.18,0.37,0,0.31,0.47,0.37,0,0,0,0.29,-
KAB KERINCI,0,1.86,0.04,0.91,0,0,0,0,1.09,0,0,0,-,0,1.86,0.04,0.91,0,0,0,0,1.09,0,0,0,-
MUARA BUNGO,0,0,0,0,0,0.32,0,0,0,0,0,0,-,0,0,0,0,0,0.32,0,0,0,0,0,0,-
KOTA JAMBI,0.46,0.5,0.12,1.62,0,0.02,0,0,0.07,0,1.09,0.14,-,0.46,0.5,0.12,1.62,0,0.02,0,0,0.07,0,1.09,0.14,-
KAB OGAN KOMERING ILIR,0.87,0,0.02,0,0,0.27,0,0,0.32,0,0,0.09,-,0.87,0,0.02,0,0,0.27,0,0,0.32,0,0,0.09,-
KAB MUARA ENIM,0,0.16,0,0,0,0,0,0,0,0,0,0,-,0,0.16,0,0,0,0,0,0,0,0,0,0,-
KOTA PALEMBANG,0.09,0.03,0,0.25,0.69,0.03,0.08,0.09,0,0,0,0.16,-,0.09,0.03,0,0.25,0.69,0.03,0.08,0.09,0,0,0,0.16,-
KOTA LUBUK LINGGAU,0,0.03,0.13,0.26,0.49,0,0,0.14,0.07,0.17,0,0.11,-,0,0.03,0.13,0.26,0.49,0,0,0.14,0.07,0.17,0,0.11,-
KAB MUKO MUKO,0.09,0,0,0,0.66,0,0,0,1.39,0,0,0,-,0.09,0,0,0,0.66,0,0,0,1.39,0,0,0,-
KOTA BENGKULU,0.36,0,0,0.08,0.02,0.28,0,0.09,0.08,0.06,0.08,0,-,0.36,0,0,0.08,0.02,0.28,0,0.09,0.08,0.06,0.08,0,-
KAB LAMPUNG TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
KAB MESUJI,0,0,0,0,0.87,0,0.34,1.02,0,0,0,0,-,0,0,0,0,0.87,0,0.34,1.02,0,0,0,0,-
KOTA BANDAR LAMPUNG,0.9,0,0,0.11,0.14,0.16,0.18,0.28,0,0,0,0,-,0.9,0,0,0.11,0.14,0.16,0.18,0.28,0,0,0,0,-
KOTA METRO,0.35,0,0.27,0.19,0,0,0,0.07,0,0,0,0,-,0.35,0,0.27,0.19,0,0,0,0.07,0,0,0,0,-
