38 Provinsi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,0.22,0.31,0.44,0.03,0.02,0.05,0.09,0.04,0.08,0.02,0.16,2.54,-,0.22,0.31,0.44,0.03,0.02,0.05,0.09,0.04,0.08,0.02,0.16,2.54,-
PROV SUMATERA UTARA,0.25,0.14,0.07,0.13,0.15,0.07,0.22,0.28,0.01,0.13,0.1,0.87,-,0.25,0.14,0.07,0.13,0.15,0.07,0.22,0.28,0.01,0.13,0.1,0.87,-
PROV SUMATERA BARAT,0.04,0.22,0.08,1.02,0.32,0.14,0.06,0,0.13,0,0.03,0.05,-,0.04,0.22,0.08,1.02,0.32,0.14,0.06,0,0.13,0,0.03,0.05,-
PROV RIAU,0.42,0.67,0.06,0.21,0.44,0.04,0.16,0.05,0.09,0.37,0.04,0.29,-,0.42,0.67,0.06,0.21,0.44,0.04,0.16,0.05,0.09,0.37,0.04,0.29,-
PROV JAMBI,0.33,0.69,0.09,1.34,0,0.05,0,0,0.24,0,0.8,0.09,-,0.33,0.69,0.09,1.34,0,0.05,0,0,0.24,0,0.8,0.09,-
PROV SUMATERA SELATAN,0.21,0.04,0.01,0.18,0.47,0.07,0.06,0.06,0.06,0.01,0,0.13,-,0.21,0.04,0.01,0.18,0.47,0.07,0.06,0.06,0.06,0.01,0,0.13,-
PROV BENGKULU,0.31,0,0,0.07,0.14,0.23,0,0.08,0.33,0.05,0.06,0,-,0.31,0,0,0.07,0.14,0.23,0,0.08,0.33,0.05,0.06,0,-
PROV LAMPUNG,0.67,0,0.01,0.09,0.13,0.12,0.13,0.24,0,0,0,0,-,0.67,0,0.01,0.09,0.13,0.12,0.13,0.24,0,0,0,0,-
PROV KEPULAUAN BANGKA BELITUNG,0,0.07,0,0.1,0.08,0.08,0.2,0.1,0.16,0,0,0,-,0,0.07,0,0.1,0.08,0.08,0.2,0.1,0.16,0,0,0,-
PROV KEPULAUAN RIAU,0.98,0.72,0.02,0.03,0.36,0.01,0.06,0.01,0.21,0.3,0.04,0.02,-,0.98,0.72,0.02,0.03,0.36,0.01,0.06,0.01,0.21,0.3,0.04,0.02,-
PROV DKI JAKARTA,0.24,0.02,0.1,0,0.01,0,0.09,0.2,0.04,0,0.11,0.02,-,0.24,0.02,0.1,0,0.01,0,0.09,0.2,0.04,0,0.11,0.02,-
PROV JAWA BARAT,0.21,0.2,0.07,0.18,0.04,0.05,0.04,0.06,0.04,0.06,0.03,0.1,-,0.21,0.2,0.07,0.18,0.04,0.05,0.04,0.06,0.04,0.06,0.03,0.1,-
PROV JAWA TENGAH,0.38,0.26,0.24,0.67,0.15,0.17,0.06,0.06,0.03,0.04,0.06,0.1,-,0.38,0.26,0.24,0.67,0.15,0.17,0.06,0.06,0.03,0.04,0.06,0.1,-
PROV DI YOGYAKARTA,0.31,0.29,0.24,0.1,0.05,0.15,0.11,0.07,0.06,0.11,0,0.02,-,0.31,0.29,0.24,0.1,0.05,0.15,0.11,0.07,0.06,0.11,0,0.02,-
PROV JAWA TIMUR,0.27,0.03,0.19,0.16,0.09,0.11,0.04,0.02,0.05,0.06,0.02,0.14,-,0.27,0.03,0.19,0.16,0.09,0.11,0.04,0.02,0.05,0.06,0.02,0.14,-
PROV BANTEN,0.11,0.15,0.17,0.11,0.06,0.14,0.02,0.06,0.52,0.12,0.06,0.05,-,0.11,0.15,0.17,0.11,0.06,0.14,0.02,0.06,0.52,0.12,0.06,0.05,-
PROV BALI,0.88,0.32,0.03,0.03,0.07,0.06,0.06,0.15,0.01,0.03,0.3,0.02,-,0.88,0.32,0.03,0.03,0.07,0.06,0.06,0.15,0.01,0.03,0.3,0.02,-
PROV NUSA TENGGARA BARAT,0.41,0.15,0.06,0.15,0,0.35,0.06,0.06,0.17,0.02,0.15,0.06,-,0.41,0.15,0.06,0.15,0,0.35,0.06,0.06,0.17,0.02,0.15,0.06,-
PROV NUSA TENGGARA TIMUR,1.24,0.36,0,0.09,0,0.01,0,0.13,0.03,0.42,0.02,0.05,-,1.24,0.36,0,0.09,0,0.01,0,0.13,0.03,0.42,0.02,0.05,-
PROV KALIMANTAN BARAT,0.08,0.01,0.01,0.35,0,0.32,0.13,0.01,0,0.02,0,0.1,-,0.08,0.01,0.01,0.35,0,0.32,0.13,0.01,0,0.02,0,0.1,-
PROV KALIMANTAN TENGAH,0.57,0.11,0.28,0.27,0.16,0.54,0.5,0.06,0.34,0.09,0.06,0.26,-,0.57,0.11,0.28,0.27,0.16,0.54,0.5,0.06,0.34,0.09,0.06,0.26,-
PROV KALIMANTAN SELATAN,0.17,1.13,0.21,0.13,0.11,0.09,0,0.08,0,0.05,0.07,0.11,-,0.17,1.13,0.21,0.13,0.11,0.09,0,0.08,0,0.05,0.07,0.11,-
PROV KALIMANTAN TIMUR,0.32,0.05,0.05,0.48,0.07,0.23,0.14,0.18,0.01,0.06,0.05,0.05,-,0.32,0.05,0.05,0.48,0.07,0.23,0.14,0.18,0.01,0.06,0.05,0.05,-
PROV KALIMANTAN UTARA,0.03,0.05,0.1,0.62,0.65,0.03,0.07,0,0.16,0.01,0.01,0.18,-,0.03,0.05,0.1,0.62,0.65,0.03,0.07,0,0.16,0.01,0.01,0.18,-
PROV SULAWESI UTARA,0.63,0.07,0.11,0.3,0.01,0.01,0.15,0.06,0.05,0.01,0,0,-,0.63,0.07,0.11,0.3,0.01,0.01,0.15,0.06,0.05,0.01,0,0,-
PROV SULAWESI TENGAH,0.13,0.1,0.72,0.63,0,0.06,0.02,0.74,0.05,0.15,0.15,0.22,-,0.13,0.1,0.72,0.63,0,0.06,0.02,0.74,0.05,0.15,0.15,0.22,-
PROV SULAWESI SELATAN,0.54,0.2,0.08,0.09,0.13,0.03,0.05,0.07,0.04,0.01,0,0.01,-,0.54,0.2,0.08,0.09,0.13,0.03,0.05,0.07,0.04,0.01,0,0.01,-
