150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,2.02,2.35,4.72,4.3,3.97,3.95,4.18,4.13,4.13,4.16,4.02,4.02,-,2.02,2.35,4.72,4.3,3.97,3.95,4.18,4.13,4.13,4.16,4.02,4.02,-
MEULABOH,3.89,3.89,3.82,3.26,2.56,2.56,0.85,0.85,1.36,1.46,1.7,5.21,-,3.89,3.89,3.82,3.26,2.56,2.56,0.85,0.85,1.36,1.46,1.7,5.21,-
KAB ACEH TAMIANG,0,0,0,0,0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,-,0,0,0,0,0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,-
KOTA BANDA ACEH,2.71,2.74,2.77,2.75,2.01,1.94,0.73,0.85,0.88,0.76,0.88,5.09,-,2.71,2.74,2.77,2.75,2.01,1.94,0.73,0.85,0.88,0.76,0.88,5.09,-
KOTA LHOKSEUMAWE,1.83,3.03,2.9,2.58,2.09,2.15,1.62,1.52,1.52,1.37,1.84,5.26,-,1.83,3.03,2.9,2.58,2.09,2.15,1.62,1.52,1.52,1.37,1.84,5.26,-
KAB LABUHANBATU,2.16,2.16,1.73,1.45,1.58,1.58,1.55,1.78,1.3,1.3,1.31,1.26,-,2.16,2.16,1.73,1.45,1.58,1.58,1.55,1.78,1.3,1.3,1.31,1.26,-
KAB KARO,3.16,3.16,3.16,1.4,1.34,1.34,1.42,1.42,1.44,0.75,0.75,0.41,-,3.16,3.16,3.16,1.4,1.34,1.34,1.42,1.42,1.44,0.75,0.75,0.41,-
KAB DELI SERDANG,0.21,0.21,0,0,0.5,0.5,0.96,1.17,1.17,1.17,1.17,1.17,-,0.21,0.21,0,0,0.5,0.5,0.96,1.17,1.17,1.17,1.17,1.17,-
KOTA SIBOLGA,5,5,4.79,4.79,4.79,4.79,3.86,3.86,3.86,3.86,3.86,2.22,-,5,5,4.79,4.79,4.79,4.79,3.86,3.86,3.86,3.86,3.86,2.22,-
KOTA PEMATANGSIANTAR,6.08,7.02,8.24,8.65,9.04,8.32,8.46,8.42,8.17,8.45,8,8.39,-,6.08,7.02,8.24,8.65,9.04,8.32,8.46,8.42,8.17,8.45,8,8.39,-
KOTA MEDAN,2.65,2.21,2.21,2.33,2.33,2.38,2.54,2.92,2.86,3.08,2.33,2.8,-,2.65,2.21,2.21,2.33,2.33,2.38,2.54,2.92,2.86,3.08,2.33,2.8,-
KOTA PADANGSIDIMPUAN,1.22,1.31,1.31,1.55,1.95,1.27,1.34,1.37,1.19,1.19,1.19,1.31,-,1.22,1.31,1.31,1.55,1.95,1.27,1.34,1.37,1.19,1.19,1.19,1.31,-
KOTA GUNUNGSITOLI,2.5,1.67,2.57,2.57,2.57,2.57,2.44,2.44,2.44,1.81,1.81,11.22,-,2.5,1.67,2.57,2.57,2.57,2.57,2.44,2.44,2.44,1.81,1.81,11.22,-
KAB DHARMASRAYA,1.08,1.08,1.08,1.08,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0,-,1.08,1.08,1.08,1.08,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0,-
KAB PASAMAN BARAT,1.61,1.66,2.04,1.35,2.31,3.18,3.11,3.11,2.8,2.23,2.23,2.23,-,1.61,1.66,2.04,1.35,2.31,3.18,3.11,3.11,2.8,2.23,2.23,2.23,-
KOTA PADANG,1.27,1.59,1.26,2.1,2.29,2.29,2.38,2.31,2.52,2.21,2.23,2.28,-,1.27,1.59,1.26,2.1,2.29,2.29,2.38,2.31,2.52,2.21,2.23,2.28,-
KOTA BUKITTINGGI,1.98,1.99,1.98,2.94,3.22,2.96,2.89,2.82,2.57,2.57,2.62,2.34,-,1.98,1.99,1.98,2.94,3.22,2.96,2.89,2.82,2.57,2.57,2.62,2.34,-
TEMBILAHAN,1.29,1.18,1.04,0.86,0.86,0.88,1.53,1.53,1.54,1.42,1.42,1.39,-,1.29,1.18,1.04,0.86,0.86,0.88,1.53,1.53,1.54,1.42,1.42,1.39,-
KAB KAMPAR,0.33,0.29,0.46,0.99,0.99,0.69,0.98,1.03,1.03,1.16,1.16,2.23,-,0.33,0.29,0.46,0.99,0.99,0.69,0.98,1.03,1.03,1.16,1.16,2.23,-
KOTA PEKANBARU,5.08,5.04,4.79,4.73,3.87,3.87,3.9,3.9,3.99,4.56,4.63,3.41,-,5.08,5.04,4.79,4.73,3.87,3.87,3.9,3.9,3.99,4.56,4.63,3.41,-
KOTA DUMAI,1.84,1.84,1.74,2.11,1.36,1.39,1.7,2.07,2.07,2.07,2.07,2,-,1.84,1.84,1.74,2.11,1.36,1.39,1.7,2.07,2.07,2.07,2.07,2,-
KAB KERINCI,2.47,4.38,4.42,2.95,2.95,2.95,2.95,2.95,4.07,3.94,3.94,3.94,-,2.47,4.38,4.42,2.95,2.95,2.95,2.95,2.95,4.07,3.94,3.94,3.94,-
MUARA BUNGO,2.67,2.67,2.54,2.54,0.07,0.39,0.39,0.32,0.32,0.32,0.32,0.32,-,2.67,2.67,2.54,2.54,0.07,0.39,0.39,0.32,0.32,0.32,0.32,0.32,-
KOTA JAMBI,2.25,2.76,2.41,4.07,4.07,3.66,3.65,3.22,3.18,3.16,3.94,4.07,-,2.25,2.76,2.41,4.07,4.07,3.66,3.65,3.22,3.18,3.16,3.94,4.07,-
KAB OGAN KOMERING ILIR,5.44,5.4,3.16,1.91,1.34,1.61,1.56,1.56,1.88,1.88,1.55,1.58,-,5.44,5.4,3.16,1.91,1.34,1.61,1.56,1.56,1.88,1.88,1.55,1.58,-
KAB MUARA ENIM,0.99,1.15,1.15,1.05,0.47,0.22,0.22,0.16,0.16,0.16,0.16,0.16,-,0.99,1.15,1.15,1.05,0.47,0.22,0.22,0.16,0.16,0.16,0.16,0.16,-
