150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,3.79,-0.04,-0.15,2.98,-1.25,-0.69,1.16,3.12,-0.3,-0.41,-2.35,9.36,-,4.77,-0.73,-0.5,3.85,-1.73,-1.12,0.79,3.91,-0.4,-0.54,-3.1,11.83,-,-0.22,1.9,-0.05,0.15,-0.24,1.49,0.67,0,0.09,-0.18,-0.13,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.92,2.23,1.24,0.21,0.5,0.46,2.71,0.82,0,0.05,0.1,2.17,-
MEULABOH,2.09,-0.53,1.31,0.2,-0.3,-0.04,1.08,1.53,0.26,-1.03,-1.52,4.82,-,2.7,-0.68,1.16,0.26,-0.39,-0.62,1.36,1.95,0.35,-1.32,-2.11,6.25,-,0.01,-0.45,-1.15,0.13,0.14,0.12,0.77,0.37,-0.39,0,0.2,-0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.09,2.36,0,0,2.34,0,0,0,0,0.59,0.13,-
KAB ACEH TAMIANG,4.05,-0.17,0.02,0.07,-2.91,0.06,1.92,2.06,0.45,-0.22,-1.58,9.18,-,5,-0.31,0.03,0.07,-3.61,0.02,2.39,2.62,0.49,-0.58,-2.06,11.37,-,0,0,0,0,-2.39,0,0,0.1,0,0,0,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.04,0.38,0.02,0.06,0.23,0.23,0.41,0.07,0.43,1.39,0.11,2.08,-
KOTA BANDA ACEH,2.78,-0.47,0.65,1.76,-1.12,-0.6,1.22,1.54,0.85,-0.47,-1.64,7.02,-,3.29,-0.58,0.74,2.02,-1.34,-0.78,1.33,1.78,0.97,-0.55,-1.97,8.27,-,0.01,-0.52,0.06,0.56,0.04,0.02,-0.04,0.16,0.2,0,0.44,-0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.56,0.23,0.23,0,0.59,1.03,0.15,0.24,0,0.1,0.28,-
KOTA LHOKSEUMAWE,4.67,-1.04,0.29,0.8,-1.31,-0.6,2.02,2.18,-0.2,-0.33,-1.62,5.16,-,5.67,-1.28,0.11,0.88,-1.63,-0.74,2.47,2.65,-0.24,-0.41,-1.96,6.26,-,0.61,0.11,-0.49,0,0,0,0,0,0,0.03,0.03,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1.8,0.55,0.19,0,0,0,0,0,0,0,-
KAB LABUHANBATU,2.4,-0.36,-0.64,0.45,-1.73,-0.97,0.35,4.63,2.26,-1.77,-2.18,3.99,-,3.11,-0.62,-1.31,0.49,-2.23,-1.38,0.39,5.94,2.74,-2.28,-2.75,5.06,-,-1.07,1.78,3.84,0.47,-0.23,0,0,-0.28,-0.03,0.74,0,0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.29,1.35,0.25,0.17,0.74,0.23,0.1,0.55,0.06,0.02,0,-
KAB KARO,2.47,-1,-0.8,0.42,-0.57,-1.03,1.46,3.01,0.89,-1.29,-2.08,2.73,-,3.13,-1.26,-1.01,0.54,-0.72,-1.3,1.85,4.01,1.11,-1.61,-2.6,3.43,-,-0.36,0,0,0,0,0.01,0,-0.21,-0.41,0.07,0,-0.3,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-0.9,0,-0.02,0,0,-
KAB DELI SERDANG,3.27,0.18,-0.63,1.02,-1.57,-1.1,2.51,3.79,1.31,-1.24,-1.63,3.82,-,4.02,-0.03,-1.04,1.27,-1.96,-1.37,2.82,4.63,1.6,-1.52,-2.06,4.56,-,0.58,2.8,1.28,-0.73,-0.29,0,1.09,-0.59,0.27,0,0.12,0.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.38,1.04,0.28,0.21,0,1.4,0.75,0.01,0,0.25,0.6,-
KOTA SIBOLGA,1.87,-0.42,-0.82,1.54,-1.03,-0.65,1.59,2,1.51,-0.63,-2.22,7.25,-,2.33,-0.56,-1.09,1.88,-1.43,-0.87,1.96,2.28,1.8,-0.83,-2.85,8.66,-,0.39,0,0.05,1.1,0.27,0.26,0,0.68,0.62,0,-0.03,0.36,-,0,0,0,0,0,0,0,0,0,0,0,12.5,-,0.24,0.06,0.21,0.06,0.51,0.09,0.37,1.13,0.39,0.15,0.06,2.74,-
KOTA PEMATANGSIANTAR,1.37,0.23,-0.09,0.32,-0.73,-0.66,1.98,3,0.77,-1.83,-0.57,2.88,-,1.38,0.14,-0.15,0.37,-0.9,-0.88,2.47,3.55,0.86,-2.33,-0.75,3.57,-,6.1,2.78,0.79,-0.24,-0.01,-0.03,0,0.32,0,0,0,0.21,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0.21,0.14,0,0.19,0,0.29,0,0.83,0.53,0.35,0.19,0,-
KOTA MEDAN,2.83,-0.94,-0.31,0.32,-1.57,-0.52,1.8,3.73,1.13,-1.1,-1.22,4.26,-,3.28,-1.12,-0.36,0.3,-1.89,-0.64,2.1,4.4,1.32,-1.34,-1.43,5.02,-,0.17,0.21,0.08,0.97,0.19,0.19,0.12,-0.15,-0.19,0.28,-0.26,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,0.01,0,0.01,0.25,0.11,0.24,0.37,0.15,0.25,0.11,0.1,-
KOTA PADANGSIDIMPUAN,2.69,0.14,0.05,1.76,-1.74,-0.92,0.97,2.43,3.62,-1.44,-2.41,3.03,-,3.4,0.12,0.06,1.92,-2.21,-1.21,0.99,3.06,4.44,-1.84,-3.03,3.81,-,0.39,0.33,0.14,0.44,0.06,0.13,-0.09,0.32,0.25,0,-0.04,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.22,0.01,1.34,0.01,0.23,1.01,0.11,0.51,0.2,0.01,0.15,-
